id,name,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,wine_category,taste_group,is_organic,bottled_volume,packaging_closing,container_type,category,sub_category,price,inventory,is_on_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
21994,Chateau Grand Montet,frakkland,bordeaux,bordeaux,2013,13.0,,01M,f,750.0,skruf,flaska,red,,1999.0,18,f,f,f,2015-04-01,t,f
21995,Cocoon Zinfandel Grand Reserve,bandaríkin,,kalifornía,2013,13.5,zinfandel,01M,f,3000.0,,box,red,,6997.0,12,f,f,f,2016-02-01,t,f
21996,Cocoon Zinfandel,bandaríkin,centralval,lodi,2012,13.5,zinfandel,01M,f,750.0,skruf,flaska,red,,1999.0,29,f,f,f,2015-04-01,t,f
21997,Laroche Chardonnay,frakkland,languedoc-,pays d'oc,2013,12.5,chardonnay,02M,f,3000.0,,box,white,,6498.0,27,f,f,f,2016-02-01,t,f
21998,Moselland Ars Vitis Riesling,þýskaland,mosel,mosel,2014,8.0,riesling,02LM,f,3000.0,,box,white,,3999.0,23,f,f,f,2015-10-01,t,f
21999,Föroya 1888 Gyltur Veðrur,færeyjar,,,,10.0,,61ÖL,f,330.0,crown,flaska,beer,,599.0,96,f,f,f,2015-05-01,t,f
22000,Föroya Sterkur Veðrur,færeyjar,,,,7.2,,60LL,f,330.0,,dós,beer,,448.0,48,f,f,f,2015-05-01,t,f
22001,Carawine,ítalía,puglia,puglia,2013,14.0,,01M,f,3000.0,,box,red,,6659.0,36,f,f,f,2015-04-01,t,f
22002,Montalto Nero d'Avola Cabernet Sauvignon,ítalía,sikiley,sicilia,,13.5,cabernet sauvignon,01M,f,3000.0,,box,red,,5998.0,32,f,f,f,2015-04-01,t,f
22003,Montalto Pinot Grigio,ítalía,sikiley,sicilia,,12.0,pinot grigio,02L,f,3000.0,,box,white,,5580.0,47,f,f,f,2015-10-01,t,f
22004,Grevens Skogsbær,noregur,,,,4.7,,,f,500.0,,dós,cidersoda,cider,491.0,120,f,f,f,2015-12-01,t,f
22005,Grevens Pærecider,noregur,,,,4.7,,,f,500.0,,dós,cidersoda,cider,491.0,408,f,f,f,2015-05-01,t,f
22006,Grevens Iste og fersken,noregur,,,,4.7,,,f,500.0,,dós,cidersoda,cider,491.0,264,f,f,f,2015-05-01,t,f
22007,Marchesi Bassini Toscana Rosso,ítalía,toskana,toscana,2013,12.0,sangiovese,01L,f,750.0,korkur,flaska,red,,1599.0,6,f,f,f,2015-04-01,t,f
22008,Marchesi Bassini Pinot Grigio,ítalía,,venezie,2014,12.0,pinot grigio,02L,f,750.0,korkur,flaska,white,,1599.0,6,f,f,f,2015-04-01,t,f
22009,Marchesi Bassini Montepulciano d'Abruzzo,ítalía,abruzzo,abruzzo,2013,12.0,montepulciano,01L,f,750.0,korkur,flaska,red,,1699.0,6,f,f,f,2015-04-01,t,f
22010,Marchesi Bassini Chianti Riserva,ítalía,toskana,chianti,2011,12.5,sangiovese,01M,f,750.0,korkur,flaska,red,,1899.0,12,f,f,f,2015-04-01,t,f
22011,Solaz Tempranillo Bio,spánn,castilla l,castilla,2012,13.5,tempranillo,01M,t,750.0,plast,flaska,red,,1798.0,0,f,f,f,2015-04-01,t,f
22012,Trapiche Malbec,argentína,mendoza,mendoza,2014,13.0,malbec,01L,f,3000.0,,box,red,,5799.0,24,f,f,f,2015-04-01,t,f
22013,Frontera Specialties Tinto,chile,valledecen,valle central,2012,12.5,syrah,01MM,f,750.0,skruf,flaska,red,,1550.0,27,f,f,f,2015-04-01,t,f
22015,Louis M Martini Sonoma Cabernet Sauvignon,bandaríkin,northcoast,sonoma county,2012,13.8,cabernet sauvignon,01M,f,750.0,stkork-d,flaska,red,,2999.0,12,f,f,f,2015-11-01,t,f
22016,Louis M Martini Napa Valley Cabernet Sauvignon,bandaríkin,northcoast,napa valley,2012,14.4,cabernet sauvignon,01T,f,750.0,korkur,flaska,red,,3899.0,18,f,f,f,2015-07-01,t,f
22017,Apothic White,bandaríkin,,kalifornía,2013,12.0,chardonnay,02LM,f,750.0,stkork-d,flaska,white,,1999.0,10,f,f,f,2015-09-01,t,f
22018,Carnivor Cabernet Sauvignon,bandaríkin,,kalifornía,2013,14.0,cabernet sauvignon,01TM,f,750.0,skruf,flaska,red,,2499.0,20,f,f,f,2015-07-01,t,f
22019,Dark Horse Chardonnay,bandaríkin,,kalifornía,2013,13.5,chardonnay,02M,f,750.0,stkork-d,flaska,white,,2199.0,9,f,f,f,2015-07-01,t,f
