id,name,supplier,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,grape,taste_group,is_organic,bottled_volume,seal,container,category,sub_category,goes_with,price,is_temp_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
1667,Belle Grove Chardonnay,HOB-vín ehf,spánn,,,2014,11.5,chardonnay,02L,false,750.0,skrúftappi,flaska,white,,"{A,P,Y}",1299,false,false,false,2012-06-01,true,false
167,Ruffino Riserva Ducale Chianti Classico,Mekka Wines & Spirits hf,ítalía,toskana,chianti classico,2011,13.0,sangiovese,01M,false,750.0,korkur,flaska,red,,"{E,F,H,L,Æ}",3299,false,false,false,2016-04-01,true,false
1685,Crabbie's Raspberry,Vífilfell hf.,stórabretland,,,,4.0,,,false,330.0,crown,flaska,cidersoda,soda,{},339,false,false,false,2015-05-01,true,false
1701,Joseph Cartron Banane,Mekka Wines & Spirits hf,frakkland,,,,25.0,,,false,500.0,skrúftappi,flaska,strong,liqueur,{},3599,false,false,false,2008-11-01,true,false
1707,Otard 1795 Extra,Mekka Wines & Spirits hf,frakkland,cognac,cognac,,40.0,,,false,700.0,,flaska,strong,brandy,{},26531,false,false,false,2010-07-01,true,false
172,Brolio Chianti Classico,Karl K. Karlsson ehf.,ítalía,toskana,chianti classico,2013,13.0,sangiovese,01M,false,750.0,korkur,flaska,red,,"{E,F,L,T,Y}",3449,false,false,false,1995-12-01,true,false
1720,Cocchi Vermouth di Torino,Karl K. Karlsson ehf.,ítalía,,,,16.0,,,false,750.0,plasttappi,flaska,strong,bitterspice,{},4759,false,false,false,2015-06-01,true,false
1722,Bulleit Bourbon Frontier Whiskey,Ölgerðin Egill Skallagríms ehf,bandaríkin,,kentucky,,45.0,,,false,700.0,korktappi,flaska,strong,whisky,{},9199,false,false,false,2015-06-01,true,false
1723,Bulleit Rye Frontier Whiskey,Ölgerðin Egill Skallagríms ehf,bandaríkin,,,,45.0,,,false,700.0,korktappi,flaska,strong,whisky,{},9310,false,false,false,2015-09-01,true,false
17269,Graham's Fine Tawny,Globus hf,portúgal,,,,19.0,,,false,750.0,korkur,flaska,fortified,port,"{A,L,N}",3699,false,false,false,2010-04-01,true,false
17270,Jacqueline Brut Blanc de Blancs,Globus hf,frakkland,,,,11.5,,04,false,750.0,korkur,flaska,bubbly,,"{C,I,P,Y}",1498,false,false,false,2015-02-01,true,false
17273,Fjallagrasa Islandica Schnapps,Íslensk fjallagrös hf.,ísland,,,,38.0,,,false,700.0,skrúftappi,flaska,strong,snaps,{},6301,false,false,false,2012-02-01,true,false
17277,Hine Cigar Reserve,Alvin Nordic Associates ehf,frakkland,cognac,cognac,,40.0,,,false,700.0,,flaska,strong,brandy,{},18650,false,true,false,2009-12-01,false,false
17285,Lamadoro Primitivo Negroamaro,Vínfélagið ehf,ítalía,puglia,puglia,2013,12.0,negroamaro,01M,false,750.0,skrúftappi,flaska,red,,"{F,G,J,P,Y}",1750,false,false,false,2010-05-01,true,false
17286,Lamadoro Primitivo,Vínfélagið ehf,ítalía,puglia,puglia,2012,12.0,primitivo,01M,false,750.0,skrúftappi,flaska,red,,"{G,J,M,P,Y}",1750,false,false,false,2010-05-01,true,false
17287,Perrin & Fils Cotes du Rhone Villages,Rolf Johansen & Co ehf,frakkland,rhone,cotes du rhone-villages,2012,13.5,grenache,01M,false,750.0,korkur,flaska,red,,"{D,G,J,P,Y}",2490,false,false,false,2013-11-01,true,false
17319,Perelada Garnatxa Blanca,Ber ehf,spánn,catalunya,emporda,2013,13.5,garnatxa,02L,false,750.0,korkur,flaska,white,,"{A,I,P,Y}",2685,false,false,false,2011-01-01,true,false
17321,GR-174,Ber ehf,spánn,catalunya,priorat,2013,15.0,cabernet sauvignon,01T,false,750.0,korkur,flaska,red,,"{E,F,H,T,Æ}",2985,false,false,false,2011-01-01,true,false
17330,Delas Crozes Hermitage Les Launes,Vínfélagið ehf,frakkland,rhone,crozes-hermitage,2011,12.5,syrah,01M,false,750.0,korkur,flaska,red,,"{D,E,G,S,Æ}",2995,false,false,false,2015-09-01,true,false
17344,Dr. Zenzen Liebfraumilch,HOB-vín ehf,þýskaland,rheinhesse,rheinhessen,,8.5,,02LM,false,3000.0,Vitop,box,white,,"{I,K,P,Y}",3899,false,false,false,2010-02-01,true,false
17402,Ayala Brut Nature,Vífilfell hf.,frakkland,champagne,champagne,,12.0,,04,false,750.0,korkur,flaska,bubbly,,"{A,B,O,P,Y}",5990,false,false,false,2013-07-01,true,false
17405,Castillo San Simon,HOB-vín ehf,spánn,murcia,jumilla,2013,12.5,monastrell,01L,false,750.0,korkur,flaska,red,,"{D,G,P,Y}",1369,false,false,false,2010-04-01,true,false
17412,Jaume Serra Cava Semi Seco,HOB-vín ehf,spánn,,cava,,11.5,viura,04M,false,750.0,korkur,flaska,bubbly,,"{A,K,O,P,Y}",1499,false,false,false,2010-04-01,true,false
17414,Platino Pink Moscato,HOB-vín ehf,spánn,castilla l,castilla,,7.0,pink moscato,04S,false,750.0,,flaska,bubbly,,"{A,P,Y}",899,false,false,false,2012-07-01,true,false
17419,Don Simon Seleccion Tempranillo,HOB-vín ehf,spánn,castilla l,castilla,,12.0,tempranillo,01L,false,3000.0,Vitop,box,red,,"{D,M,P,Y}",4999,false,false,false,2010-04-01,true,false
17421,Castillo de Gredos rautt,HOB-vín ehf,spánn,,,,13.0,tempranillo,01L,false,3000.0,Vitop,box,red,,"{3,D,M,P,Y}",5399,false,false,false,2011-07-01,true,false
17425,Joseph Mellot Sancerre La Chatellenie,Rolf Johansen & Co ehf,frakkland,loire,sancerre,2014,12.5,sauvignon blanc,02L,false,750.0,skrúftappi,flaska,white,,"{4,A,B,G,L,Y}",3490,false,false,false,2015-10-01,true,false
17438,Meantime Chocolate,Elgur ehf,stórabretland,,,,6.5,,61SP,false,330.0,crown,flaska,beer,,{},749,false,false,false,2010-09-01,true,false
17448,Anchor Old Foghorn,Elgur ehf,bandaríkin,,,,8.2,,61ÖL,false,355.0,crown,flaska,beer,,{},989,false,false,false,2014-05-01,true,false
17453,Rheinhessen Liebfraumilch,HOB-vín ehf,þýskaland,rheinhesse,rheinhessen,2013,8.5,,02LM,false,750.0,plasttappi,flaska,white,,"{C,I,K,P,Y}",1099,false,false,false,2010-05-01,true,false
17468,Tripel Karmeliet,Járn og gler hf,belgía,,,,8.4,,61ÖL,false,330.0,crown,flaska,beer,,{},838,false,false,false,2013-09-01,true,false
17480,Torres Salmos,Karl K. Karlsson ehf.,spánn,catalunya,priorat,2011,14.5,carignan,01T,false,750.0,korkur,flaska,red,,"{E,F,H,L,Æ}",4650,false,false,false,2012-10-01,true,false
17493,Mongozo Banana,Elgur ehf,belgía,,,,3.6,,62ÁK,false,330.0,crown,flaska,beer,,{},599,false,false,false,2013-08-09,true,false
17494,Mongozo Coconut,Elgur ehf,belgía,,,,3.6,,62ÁK,false,330.0,crown,flaska,beer,,{},588,false,false,false,2010-06-01,true,false
175,M. Chapoutier Chateauneuf-du-Pape La Bernardine,Vínekran Bourgogne ehf,frakkland,rhone,chateauneuf-du-pape,2011,14.5,grenache,01T,false,750.0,korkur,flaska,red,,"{E,H,T,Æ}",6490,false,false,false,2008-11-01,true,false
17517,Malandes Chablis Premier Cru Vau de Vey,Haugen-Gruppen ehf.,frakkland,bourgogne,chablis premier cru,2013,13.0,chardonnay,02M,false,750.0,korkur,flaska,white,,"{B,C,I,Æ}",3999,false,false,false,2012-06-01,true,false
